券種,買い目,odds,id
3連複,4-5-14,1730,20230826_札幌_結果_8
3連複,1-8-9,26430,20230826_札幌_結果_9
3連複,4-10-14,18270,20230826_札幌_結果_10
3連複,7-8-10,25180,20230826_札幌_結果_11
3連複,4-10-12,2660,20230826_札幌_結果_12
3連複,1-2-11,4510,20230827_小倉_結果_1
3連複,8-9-10,1280,20230827_小倉_結果_2
3連複,8-10-16,3400,20230827_小倉_結果_3
3連複,2-9-10,23300,20230827_小倉_結果_4
3連複,2-3-8,12820,20230827_小倉_結果_5
3連複,5-14-17,8180,20230827_小倉_結果_6
3連複,4-5-9,8040,20230827_小倉_結果_7
3連複,4-7-11,10210,20230827_小倉_結果_8
3連複,2-10-11,6000,20230827_小倉_結果_9
3連複,4-5-12,45740,20230827_小倉_結果_10
3連複,2-4-10,10750,20230827_小倉_結果_11
3連複,1-9-11,10360,20230827_小倉_結果_12
3連複,3-9-13,940,20230827_新潟_結果_1
3連複,11-12-13,32260,20230827_新潟_結果_2
3連複,3-5-8,1090,20230827_新潟_結果_3
3連複,7-8-15,1580,20230827_新潟_結果_4
3連複,3-5-6,31920,20230827_新潟_結果_5
3連複,6-9-14,10290,20230827_新潟_結果_6
3連複,2-5-8,810,20230827_新潟_結果_7
3連複,7-10-11,12200,20230827_新潟_結果_8
3連複,9-13-15,7270,20230827_新潟_結果_9
3連複,5-9-14,2100,20230827_新潟_結果_10
3連複,6-11-12,27870,20230827_新潟_結果_11
3連複,3-7-11,20670,20230827_新潟_結果_12
3連複,3-7-9,1120,20230827_札幌_結果_1
3連複,4-7-12,3610,20230827_札幌_結果_2
3連複,4-6-10,800,20230827_札幌_結果_3
3連複,5-9-10,59320,20230827_札幌_結果_4
3連複,3-4-5,120,20230827_札幌_結果_5
3連複,1-6-12,19460,20230827_札幌_結果_6
3連複,1-4-10,21720,20230827_札幌_結果_7
3連複,8-10-14,2170,20230827_札幌_結果_8
3連複,9-13-15,14520,20230827_札幌_結果_9
3連複,3-12-14,11050,20230827_札幌_結果_10
3連複,8-12-14,6150,20230827_札幌_結果_11
3連複,1-7-13,78290,20230827_札幌_結果_12
3連複,1-2-7,8770,20230902_小倉_結果_1
3連複,6-7-11,2290,20230902_小倉_結果_2
3連複,4-6-12,38390,20230902_小倉_結果_3
3連複,3-7-16,18440,20230902_小倉_結果_4
3連複,6-11-13,4990,20230902_小倉_結果_5
3連複,1-4-9,19670,20230902_小倉_結果_6
3連複,1-10-14,5180,20230902_小倉_結果_7
3連複,5-6-10,3570,20230902_小倉_結果_8
3連複,1-3-11,401800,20230902_小倉_結果_9
3連複,1-2-6,2730,20230902_小倉_結果_10
3連複,5-11-13,61990,20230902_小倉_結果_11
3連複,4-13-16,14530,20230902_小倉_結果_12
3連複,2-4-12,1450,20230902_新潟_結果_1
3連複,5-8-9,32390,20230902_新潟_結果_2
3連複,5-8-14,18710,20230902_新潟_結果_3
3連複,3-4-5,380,20230902_新潟_結果_4
3連複,1-5-6,13250,20230902_新潟_結果_5
3連複,5-6-9,185300,20230902_新潟_結果_6
3連複,4-8-14,3310,20230902_新潟_結果_7
3連複,9-12-14,7440,20230902_新潟_結果_8
3連複,1-2-6,1210,20230902_新潟_結果_9
3連複,1-3-5,340,20230902_新潟_結果_10
3連複,6-12-14,170220,20230902_新潟_結果_11
3連複,13-15-18,26210,20230902_新潟_結果_12
3連複,1-3-5,2550,20230902_札幌_結果_1
3連複,2-6-7,1550,20230902_札幌_結果_2
3連複,5-12-13,12760,20230902_札幌_結果_3
3連複,1-11-13,47290,20230902_札幌_結果_4
3連複,3-8-13,13610,20230902_札幌_結果_5
3連複,2-9-11,760,20230902_札幌_結果_6
3連複,2-4-5,23610,20230902_札幌_結果_7
3連複,4-5-14,1960,20230902_札幌_結果_8
3連複,7-8-14,22690,20230902_札幌_結果_9
3連複,3-9-14,22280,20230902_札幌_結果_10
3連複,4-7-8,2370,20230902_札幌_結果_11
3連複,1-11-14,9330,20230902_札幌_結果_12
3連複,1-3-8,3030,20230903_小倉_結果_1
3連複,5-8-11,2600,20230903_小倉_結果_2
3連複,4-6-9,191200,20230903_小倉_結果_3
3連複,2-10-18,18650,20230903_小倉_結果_4
3連複,8-12-13,2860,20230903_小倉_結果_5
3連複,7-14-15,5970,20230903_小倉_結果_6
3連複,15-17-18,10970,20230903_小倉_結果_7
3連複,3-4-10,8280,20230903_小倉_結果_8
3連複,12-14-17,130230,20230903_小倉_結果_9
